Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
620 Eddy St,Multi-Family,1/12/2010,2600000,6.76,8.76,136.13,74286,19100,35,107,Good,B,Reinforced Concrete,37.7834208,-122.4180457,35,0,0,4,94109,2 Star,0,RC-4,,1910
1130 E 3rd Ave,Multi-Family,3/1/2005,21225000,7.88,7.68,125.18,118575,169558,179,42,Good,B,Steel,37.7962049,-122.2564427,35,144,0,17,94606,4 Star,0,S-2,,1975
1699 Laguna St,Multi-Family,10/31/2001,4550000,8.36,6.55,127.81,89216,35600,51,47,Good,B,Wood Frame,37.96904,-122.039682,35,16,0,3,94520,2 Star,0,M-1,1031 Exchange,1970
444 28th St (Part of Multi-Property Sale),Multi-Family,5/8/2015,4887500,,,237.3,143750,20596,34,62,Good,C,Masonry,37.8169295,-122.2664982,34,0,0,2,94609,2 Star,0,SI,,1955
305 Euclid Ave,Multi-Family,7/31/2003,3130000,11.65,5.3,72.59,86944,43120,36,45,Good,C,Masonry,37.813598,-122.252952,34,1,0,5,94610,2 Star,0,R-70,,1972
1130 E 3rd Ave,Multi-Family,10/31/2012,31000000,,5.6,182.83,174157,169558,178,42,Good,B,Steel,37.7962049,-122.2564427,34,144,0,17,94606,4 Star,0,S-2,,1975
2800 21st Ave,Multi-Family,12/8/2004,2475000,8.68,6.67,108.82,72794,22744,34,53,Good,C,Wood Frame,37.795413,-122.227958,34,0,0,2,94606,2 Star,0,R-50,,1964
1811 27th Ave,Multi-Family,5/13/2015,3522500,,6.1,161.8,80057,21771,44,67,Good,C,Wood Frame,37.784284,-122.228414,34,6,0,3,94601,2 Star,0,C-30,,1950
1811 27th Ave,Multi-Family,11/8/2005,2550000,7.31,7.72,117.13,60714,21771,42,67,Good,C,Wood Frame,37.784284,-122.228414,34,4,0,3,94601,2 Star,0,C-30,,1950
655 Stockton St,Multi-Family,9/11/2002,17000000,15.3,4.04,204.82,160377,83000,106,102,Good,C,,37.792046,-122.407888,34,0,0,4,94108,3 Star,0,RM4,,1915
